Metric,EarlyValue,LateValue,LateMinusEarly,PermutationP,NEarly,NLate,QFDR
Completion rate,0.95,0.9125,-0.0375,0.0495900819836033,400,400,0.0991801639672066
Median pre-trial interval (s),1.28360652923584,1.28658056259155,0.00297403335571289,0.258548290341932,399,400,0.344731053789242
Median reaction time (ms),258.807063102722,242.290496826172,-16.5165662765503,0.0001999600079984,384,367,0.000799840031993601
Median fixation acquisition latency (ms),225.536227226257,225.59916973114,0.0629425048828125,0.731653669266147,400,400,0.731653669266147
Mean missed frames,0.0775,0.025,-0.0525,NaN,400,400,NaN
