Domain,Strategy,NAll,CorrectAll,AccuracyAll,NReal,CorrectReal,AccuracyReal,CI95LowReal,CI95HighReal,PExactVsChanceReal,IndistinguishableFrom,QFDR
Identity,Always T1,435,212,0.48735632183908,435,212,0.48735632183908,0.440701391761902,0.534232608253592,0.631659600546025,None,0.701343342706466
Identity,Always T2,435,223,0.512643678160919,435,223,0.512643678160919,0.465767391746408,0.559298608238098,0.631659600546025,None,0.701343342706466
Identity,Choose rich target,435,213,0.489655172413793,435,213,0.489655172413793,0.442975216593313,0.536516237964819,0.701343342706466,None,0.701343342706466
Identity,Choose low-reward target,435,222,0.510344827586207,435,222,0.510344827586207,0.463483762035181,0.557024783406687,0.701343342706466,None,0.701343342706466
Identity,Choose high-salience target,435,233,0.535632183908046,435,233,0.535632183908046,0.488657734675936,0.581982810734944,0.150240011447848,None,0.240384018316557
Identity,Choose low-salience target,435,202,0.464367816091954,435,202,0.464367816091954,0.418017189265056,0.511342265324064,0.150240011447848,None,0.240384018316557
Identity,Repeat previous identity,434,239,0.550691244239631,434,239,0.550691244239631,0.503651857977056,0.596841138091685,0.0388887647109639,None,0.10370337256257
Identity,Switch identity,434,195,0.449308755760369,434,195,0.449308755760369,0.403158861908315,0.496348142022944,0.0388887647109639,None,0.10370337256257
Spatial,Always right,435,297,0.682758620689655,435,297,0.682758620689655,0.637585995205813,0.724731640933861,1.83732448730172e-14,None,7.3492979492069e-14
Spatial,Always left,435,138,0.317241379310345,435,138,0.317241379310345,0.275268359066139,0.362414004794187,1.83732448730172e-14,None,7.3492979492069e-14
Spatial,Choose rich side,435,213,0.489655172413793,435,213,0.489655172413793,0.442975216593313,0.536516237964819,0.701343342706466,None,0.701343342706466
Spatial,Choose low-reward side,435,222,0.510344827586207,435,222,0.510344827586207,0.463483762035181,0.557024783406687,0.701343342706466,None,0.701343342706466
Spatial,Choose high-salience side,435,233,0.535632183908046,435,233,0.535632183908046,0.488657734675936,0.581982810734944,0.150240011447848,None,0.240384018316557
Spatial,Choose low-salience side,435,202,0.464367816091954,435,202,0.464367816091954,0.418017189265056,0.511342265324064,0.150240011447848,None,0.240384018316557
Spatial,Repeat previous side,434,360,0.829493087557604,434,360,0.829493087557604,0.791257517182458,0.861946957264361,3.45184067119765e-46,None,2.76147253695812e-45
Spatial,Switch side,434,74,0.170506912442396,434,74,0.170506912442396,0.138053042735639,0.208742482817542,3.45184067119765e-46,None,2.76147253695812e-45
