Condition,NAll,MedianAllMs,IQRAllMs,NReal,MedianRealMs,IQRRealMs
All choices,432,242.536783218384,42.1513319015503,432,242.536783218384,42.1513319015503
Congruent,190,250.361800193787,49.9959588050842,190,250.361800193787,49.9959588050842
Conflict,242,242.463231086731,49.954354763031,242,242.463231086731,49.954354763031
