Metric,N,Count,Proportion,CI95Low,CI95High,PExactVsHalf,Notes,QFDR
T1 presented on the right,435,216,0.496551724137931,0.449802575310139,0.543361242875904,0.923620327712783,Spatial counterbalancing of target identity.,0.999999999999863
Rich target on the right,435,191,0.439080459770115,0.393178749060814,0.486048705559294,0.0125704390413058,Reward value should be independent of side.,0.0273619966435019
High-salience target on the right,435,243,0.558620689655172,0.511646898715643,0.604568192121611,0.0164171979861011,Salience should be independent of side.,0.0273619966435019
Congruent trial,435,191,0.439080459770115,0.393178749060814,0.486048705559294,0.0125704390413058,Congruent/conflict balance.,0.0273619966435019
T1 instruction trial,680,340,0.5,0.462525108693483,0.537474891306517,0.999999999999863,Identity balance in instruction trials.,0.999999999999863
