Outcome,NTotal,NConflict,CountConflict,PConflict,CI95LowConflict,CI95HighConflict,NCongruent,CountCongruent,PCongruent,CI95LowCongruent,CI95HighCongruent,Difference,OddsRatio,FisherP,QFDR,Notes
Choose high-salience target,435,244,132,0.540983606557377,0.478305768999568,0.602390980023643,191,101,0.528795811518325,0.458135792283888,0.598320364771078,-0.0121877950390525,0.95225685395601,0.846530375876933,0.846530375876933,Tests whether salience-guided choices differ between conditions.
Choose high-reward target,435,244,112,0.459016393442623,0.397609019976357,0.521694231000432,191,101,0.528795811518325,0.458135792283888,0.598320364771078,0.0697794180757016,1.32093308778392,0.176032016074702,0.268093021462774,Tests whether reward-guided choices differ between conditions.
Choose right,435,244,160,0.655737704918033,0.59412238822053,0.712525258067671,191,137,0.717277486910995,0.649617571840728,0.776369795028568,0.0615397819929621,1.32827460058876,0.178728680975183,0.268093021462774,Spatial control comparing conflict and congruent trials.
