familyID,gOverR,bOverR,redLevel,rgbR_255,rgbG_255,rgbB_255,redDominance,measuredCdM2,measuredCdM2Sd,cieX,cieY
15,0.08,0.5,0,0,0,0,0.0,0.120699234306812,0,0.261967420578003,0.26246178150177
15,0.08,0.5,8,8,1,4,0.0156862745098039,0.206221580505371,0,0.329025447368622,0.306527376174927
15,0.08,0.5,16,16,1,8,0.0313725490196078,0.229538261890411,0,0.353815317153931,0.304386705160141
15,0.08,0.5,24,24,2,12,0.0470588235294118,0.320143043994904,0,0.411984860897064,0.291428118944168
15,0.08,0.5,32,32,3,16,0.0627450980392157,0.444662034511566,0,0.477171123027802,0.288740515708923
15,0.08,0.5,40,40,3,20,0.0784313725490196,0.644606947898865,0,0.509767413139343,0.282925724983215
15,0.08,0.5,48,48,4,24,0.0941176470588235,0.93046361207962,0,0.531092166900635,0.280954509973526
15,0.08,0.5,56,56,4,28,0.109803921568627,1.24210262298584,0,0.545230269432068,0.272188454866409
15,0.08,0.5,64,64,5,32,0.125490196078431,1.6594420671463,0,0.558404624462128,0.271014630794525
15,0.08,0.5,72,72,6,36,0.141176470588235,2.1699333190918,0,0.563937842845917,0.269976437091827
15,0.08,0.5,80,80,6,40,0.156862745098039,2.77822589874268,0,0.567115902900696,0.269347876310349
15,0.08,0.5,88,88,7,44,0.172549019607843,3.45859241485596,0,0.569146275520325,0.26721602678299
15,0.08,0.5,96,96,8,48,0.188235294117647,4.26528787612915,0,0.570996284484863,0.266440361738205
15,0.08,0.5,104,104,8,52,0.203921568627451,5.1128396987915,0,0.570624828338623,0.265525907278061
15,0.08,0.5,112,112,9,56,0.219607843137255,6.08493185043335,0,0.56994104385376,0.264926016330719
15,0.08,0.5,120,120,10,60,0.235294117647059,7.10280227661133,0,0.571200489997864,0.264463663101196
15,0.08,0.5,128,128,10,64,0.250980392156863,8.26335430145264,0,0.57016122341156,0.263677477836609
15,0.08,0.5,136,136,11,68,0.266666666666667,9.43528938293457,0,0.568867325782776,0.262705504894257
15,0.08,0.5,144,144,12,72,0.282352941176471,10.7148523330688,0,0.567628741264343,0.262151330709457
15,0.08,0.5,152,152,12,76,0.298039215686275,12.0521650314331,0,0.566249430179596,0.261384010314941
15,0.08,0.5,160,160,13,80,0.313725490196078,13.4497518539429,0,0.565303325653076,0.260431706905365
15,0.08,0.5,168,168,13,84,0.329411764705882,14.9747333526611,0,0.564655542373657,0.259815692901611
15,0.08,0.5,176,176,14,88,0.345098039215686,16.6211395263672,0,0.563286066055298,0.259314119815826
15,0.08,0.5,184,184,15,92,0.36078431372549,18.2361907958984,0,0.561912536621094,0.258510380983353
15,0.08,0.5,192,192,15,96,0.376470588235294,19.9069957733154,0,0.560555517673492,0.257681399583817
15,0.08,0.5,200,200,16,100,0.392156862745098,21.5820560455322,0,0.558923959732056,0.257212281227112
15,0.08,0.5,208,208,17,104,0.407843137254902,23.32248878479,0,0.557790040969849,0.256665498018265
15,0.08,0.5,216,216,17,108,0.423529411764706,25.1622104644775,0,0.556407988071442,0.256058990955353
15,0.08,0.5,224,224,18,112,0.43921568627451,27.1121482849121,0,0.555386245250702,0.255634427070618
15,0.08,0.5,232,232,19,116,0.454901960784314,29.0697822570801,0,0.553779482841492,0.255009144544601
15,0.08,0.5,240,240,19,120,0.470588235294118,30.9919414520264,0,0.552568376064301,0.25432750582695
15,0.08,0.5,248,248,20,124,0.486274509803922,32.6913604736328,0,0.549841225147247,0.253087669610977
15,0.08,0.5,255,255,20,128,0.498039215686275,33.769905090332,0,0.545057356357574,0.251247704029083
