Condition,NAll,MedianAllMs,IQRAllMs,NReal,MedianRealMs,IQRRealMs
All choices,236,242.131948471069,42.1245694160461,236,242.131948471069,42.1245694160461
Congruent,95,242.15841293335,49.7710704803467,95,242.15841293335,49.7710704803467
Conflict,141,242.105484008789,41.877269744873,141,242.105484008789,41.877269744873
