Metric,NEarlyAll,NLateAll,EarlyAll,LateAll,LateMinusEarlyAll,NEarlyReal,NLateReal,EarlyReal,LateReal,LateMinusEarlyReal,PermutationPReal,QFDR
P(choose right),79,79,0.632911392405063,0.455696202531646,-0.177215189873418,79,79,0.632911392405063,0.455696202531646,-0.177215189873418,0.0373925214957009,0.224355128974205
P(choose T1),79,79,0.392405063291139,0.506329113924051,0.113924050632911,79,79,0.392405063291139,0.506329113924051,0.113924050632911,0.20875824835033,0.439512097580484
P(choose rich target),79,79,0.493670886075949,0.481012658227848,-0.0126582278481013,79,79,0.493670886075949,0.481012658227848,-0.0126582278481013,1,1
P(choose high-salience target),79,79,0.544303797468354,0.531645569620253,-0.0126582278481013,79,79,0.544303797468354,0.531645569620253,-0.0126582278481013,1,1
P(repeat identity),79,79,0.658227848101266,0.569620253164557,-0.0886075949367088,79,79,0.658227848101266,0.569620253164557,-0.0886075949367088,0.331933613277345,0.497900419916017
P(repeat side),79,79,0.848101265822785,0.759493670886076,-0.0886075949367088,79,79,0.848101265822785,0.759493670886076,-0.0886075949367088,0.219756048790242,0.439512097580484
