Metric,EarlyValue,LateValue,LateMinusEarly,PermutationP,NEarly,NLate,QFDR
Completion rate,0.917431192660551,0.908256880733945,-0.00917431192660556,0.866426714657069,218,218,0.889022195560888
Median pre-trial interval (s),1.28858113288879,1.29311168193817,0.00453054904937744,0.104379124175165,217,218,0.374325134973005
Median reaction time (ms),250.604033470154,250.63943862915,0.035405158996582,0.889022195560888,202,200,0.889022195560888
Median fixation acquisition latency (ms),233.790874481201,225.504040718079,-8.28683376312256,0.187162567486503,218,218,0.374325134973005
Mean missed frames,0.018348623853211,0.036697247706422,0.018348623853211,NaN,218,218,NaN
