Outcome,NTotal,NConflict,CountConflict,PConflict,CI95LowConflict,CI95HighConflict,NCongruent,CountCongruent,PCongruent,CI95LowCongruent,CI95HighCongruent,Difference,OddsRatio,FisherP,QFDR,Notes
Choose high-salience target,238,143,78,0.545454545454545,0.463720346953044,0.624810508735839,95,54,0.568421052631579,0.468082089872142,0.663441667011931,0.0229665071770335,1.09577162151792,0.790369266408127,0.790369266408127,Tests whether salience-guided choices differ between conditions.
Choose high-reward target,238,143,65,0.454545454545455,0.375189491264161,0.536279653046956,95,54,0.568421052631579,0.468082089872142,0.663441667011931,0.113875598086124,1.57389864802722,0.111992040079659,0.335976120238977,Tests whether reward-guided choices differ between conditions.
Choose right,238,143,74,0.517482517482518,0.436202145886806,0.597848183224303,95,52,0.547368421052632,0.447382669139246,0.643672239472804,0.0298859035701141,1.12589678315205,0.691827220420192,0.790369266408127,Spatial control comparing conflict and congruent trials.
