Metric,N,Count,Proportion,CI95Low,CI95High,PExactVsHalf,Notes,QFDR
T1 presented on the right,238,120,0.504201680672269,0.441120856362636,0.567149024284598,0.948335123853445,Spatial counterbalancing of target identity.,0.999999999999732
Rich target on the right,238,95,0.399159663865546,0.339019278512254,0.46250358595414,0.00224673450760104,Reward value should be independent of side.,0.0056168362690026
High-salience target on the right,238,142,0.596638655462185,0.533256525555008,0.656950729331365,0.00344806498387573,Salience should be independent of side.,0.00574677497312622
Congruent trial,238,95,0.399159663865546,0.339019278512254,0.46250358595414,0.00224673450760104,Congruent/conflict balance.,0.0056168362690026
T1 instruction trial,360,180,0.5,0.448623797121884,0.551376202878116,0.999999999999732,Identity balance in instruction trials.,0.999999999999732
