EvidenceType,Bin,EvidenceMin,EvidenceMean,EvidenceMax,NAll,CountT1All,PChooseT1All,CI95LowAll,CI95HighAll,NReal,CountT1Real,PChooseT1Real,CI95LowReal,CI95HighReal
T1 - T2 hue contrast (deg),1,-169.898565605998,-149.47835890833,-122.309961290314,92,11,0.119565217391304,0.0680913480881625,0.201535795933506,92,11,0.119565217391304,0.0680913480881625,0.201535795933506
T1 - T2 hue contrast (deg),2,-119.243861926801,-99.7095633556027,-74.354688963336,49,3,0.0612244897959184,0.0210401466729675,0.165204878357264,49,3,0.0612244897959184,0.0210401466729675,0.165204878357264
T1 - T2 hue contrast (deg),3,-70.8467740526021,-50.7495589219843,-28.2003916277765,39,2,0.0512820512820513,0.0141779554152741,0.168856400476136,39,2,0.0512820512820513,0.0141779554152741,0.168856400476136
T1 - T2 hue contrast (deg),4,-23.9273275386388,-10.4326573048933,9.43646636426774,22,3,0.136363636363636,0.0474900371405526,0.333349871665717,22,3,0.136363636363636,0.0474900371405526,0.333349871665717
T1 - T2 hue contrast (deg),5,40.4357162792512,56.7900234913642,66.2931115869811,5,0,0,0,0.434482464783174,5,0,0,0,0.434482464783174
T1 - T2 hue contrast (deg),6,75.0387829909311,93.3858734541824,105.87632247784,7,4,0.571428571428571,0.250458364527658,0.84178014474853,7,4,0.571428571428571,0.250458364527658,0.84178014474853
T1 - T2 hue contrast (deg),7,121.201147367855,149.621839880674,168.799044716164,17,8,0.470588235294118,0.261651064424095,0.690367649399955,17,8,0.470588235294118,0.261651064424095,0.690367649399955
