Metric,NEarlyAll,NLateAll,EarlyAll,LateAll,LateMinusEarlyAll,NEarlyReal,NLateReal,EarlyReal,LateReal,LateMinusEarlyReal,PermutationPReal,QFDR
P(choose right),77,77,1,1,0,77,77,1,1,0,1,1
P(choose T1),77,77,0.12987012987013,0.168831168831169,0.038961038961039,77,77,0.12987012987013,0.168831168831169,0.038961038961039,0.666666666666667,1
P(choose rich target),77,77,0.12987012987013,0.168831168831169,0.038961038961039,77,77,0.12987012987013,0.168831168831169,0.038961038961039,0.653069386122775,1
P(choose high-salience target),77,77,0.857142857142857,0.831168831168831,-0.0259740259740259,77,77,0.857142857142857,0.831168831168831,-0.0259740259740259,0.832833433313337,1
P(repeat identity),76,76,0.842105263157895,0.868421052631579,0.0263157894736843,76,76,0.842105263157895,0.868421052631579,0.0263157894736843,0.82123575284943,1
P(repeat side),76,76,1,1,0,76,76,1,1,0,1,1
