Condition,NAll,MedianAllMs,IQRAllMs,NReal,MedianRealMs,IQRRealMs
All choices,86,308.904767036438,56.1402440071106,86,308.904767036438,56.1402440071106
Congruent,45,300.291299819946,66.3409233093262,45,300.291299819946,66.3409233093262
Conflict,41,317.381143569946,50.0423908233643,41,317.381143569946,50.0423908233643
