Condition,NAll,MedianAllMs,IQRAllMs,NReal,MedianRealMs,IQRRealMs
All choices,135,233.849048614502,66.7728185653687,135,233.849048614502,66.7728185653687
Congruent,65,234.0247631073,74.6715068817139,65,234.0247631073,74.6715068817139
Conflict,70,233.684539794922,58.2184195518494,70,233.684539794922,58.2184195518494
