Outcome,NTotal,NConflict,CountConflict,PConflict,CI95LowConflict,CI95HighConflict,NCongruent,CountCongruent,PCongruent,CI95LowCongruent,CI95HighCongruent,Difference,OddsRatio,FisherP,QFDR,Notes
Choose high-salience target,135,70,33,0.471428571428571,0.359048763963843,0.586781125316744,65,27,0.415384615384615,0.303602415574227,0.536610151265026,-0.056043956043956,0.799573560767591,0.603545024155773,0.603545024155773,Tests whether salience-guided choices differ between conditions.
Choose high-reward target,135,70,37,0.528571428571429,0.413218874683256,0.640951236036157,65,27,0.415384615384615,0.303602415574227,0.536610151265026,-0.113186813186813,0.638095238095238,0.228120993279069,0.603545024155773,Tests whether reward-guided choices differ between conditions.
Choose right,135,70,51,0.728571428571429,0.61455688263719,0.818804003118117,65,43,0.661538461538462,0.540383769155121,0.764664966879033,-0.067032967032967,0.732038834951456,0.455739572960715,0.603545024155773,Spatial control comparing conflict and congruent trials.
