Domain,Response,Predictor,NAll,PResponseWhen0All,PResponseWhen1All,DifferenceAll,OddsRatioAll,NReal,PResponseWhen0Real,PResponseWhen1Real,DifferenceReal,OddsRatioReal,FisherPReal,Notes,QFDR
Spatial,Choose right,Rich target on the right,135,0.727272727272727,0.666666666666667,-0.0606060606060607,0.754770783066462,135,0.727272727272727,0.666666666666667,-0.0606060606060607,0.754770783066462,0.460799459067096,Effect of reward on chosen side.,0.544672188724642
Spatial,Choose right,High-salience target on the right,135,0.75,0.641791044776119,-0.108208955223881,0.603328710124827,135,0.75,0.641791044776119,-0.108208955223881,0.603328710124827,0.193578846714008,Effect of salience on chosen side.,0.429144022311049
Spatial/identity,Choose right,T1 on the right,135,0.652173913043478,0.742424242424242,0.0902503293807642,1.52307692307692,135,0.652173913043478,0.742424242424242,0.0902503293807642,1.52307692307692,0.268215013944406,A T1 preference produces a positive association; T2 produces a negative association.,0.429144022311049
Spatial perseveration,Choose right,Previous choice on the right,134,0.85,0.627659574468085,-0.222340425531915,0.315778730353133,134,0.85,0.627659574468085,-0.222340425531915,0.315778730353133,0.0133966875443151,Dependence on the side selected previously.,0.0535867501772603
Reward,Choose T1,T1 is rich,135,0.588235294117647,0.511904761904762,-0.0763305322128852,0.738889986174205,135,0.588235294117647,0.511904761904762,-0.0763305322128852,0.738889986174205,0.476588165134062,Reward effect independent of T1 side.,0.544672188724642
Salience,Choose T1,T1 is high salience,135,0.6,0.485714285714286,-0.114285714285714,0.634125195075429,135,0.6,0.485714285714286,-0.114285714285714,0.634125195075429,0.226857550565218,Effect of salience on identity choice.,0.429144022311049
Identity/spatial,Choose T1,T1 on the right,135,0.347826086956522,0.742424242424242,0.394598155467721,5.2530612244898,135,0.347826086956522,0.742424242424242,0.394598155467721,5.2530612244898,5.63154557262101e-06,An always-right policy produces a positive association.,4.50523645809681e-05
Identity perseveration,Choose T1,Previous choice was T1,134,0.564516129032258,0.527777777777778,-0.0367383512544803,0.864462135129618,134,0.564516129032258,0.527777777777778,-0.0367383512544803,0.864462135129618,0.729291234419875,Dependence on the previously selected identity.,0.729291234419875
