Metric,EarlyValue,LateValue,LateMinusEarly,PermutationP,NEarly,NLate,QFDR
Completion rate,0.888059701492537,0.746268656716418,-0.141791044776119,0.00339932013597281,134,134,0.00959808038392321
Median pre-trial interval (s),1.14819478988647,1.14971780776978,0.00152301788330078,0.592681463707258,133,134,0.592681463707258
Median reaction time (ms),254.733800888062,233.955979347229,-20.7778215408325,0.00479904019196161,120,102,0.00959808038392321
Median fixation acquisition latency (ms),217.56649017334,209.144830703735,-8.42165946960449,0.0823835232953409,134,134,0.109844697727121
Mean missed frames,0.0223880597014925,0.0970149253731343,0.0746268656716418,NaN,134,134,NaN
