Metric,EarlyValue,LateValue,LateMinusEarly,PermutationP,NEarly,NLate,QFDR
Completion rate,1,1,0,1,337,337,1
Median pre-trial interval (s),1.54947113990784,1.55239200592041,0.00292086601257324,0.220555888822236,336,337,0.661667666466707
Median reaction time (ms),NaN,NaN,NaN,NaN,0,0,NaN
Median fixation acquisition latency (ms),1.8153190612793,1.88899040222168,0.0736713409423828,0.499900019996001,337,337,0.749850029994001
Mean missed frames,2.67062314540059,3.41246290801187,0.741839762611276,NaN,337,337,NaN
