Domain,Metric,NAll,CountAll,ProportionAll,NReal,CountReal,ProportionReal,CI95LowReal,CI95HighReal,PExactVsHalfReal,Notes,QFDR
Online plot,P(high salience) - conflict,126,126,1,126,126,1,0.970414235517802,1,2.35098870164459e-38,Offline equivalent of pHighSalConflict.,7.05296610493377e-38
Online plot,P(high salience) - congruent,126,124,0.984126984126984,126,124,0.984126984126984,0.943971236215075,0.995636198175177,1.88126115905587e-34,Offline equivalent of pHighSalCongruent.,2.8218917385838e-34
Online plot,P(high reward) - conflict,126,0,0,126,0,0,0,0.0295857644821983,2.35098870164459e-38,Offline equivalent of pHighRewardConflict.,7.05296610493377e-38
Online plot,P(high reward) - congruent,126,124,0.984126984126984,126,124,0.984126984126984,0.943971236215075,0.995636198175177,1.88126115905587e-34,Offline equivalent of pHighRewardCongruent.,2.8218917385838e-34
Online plot,P(right) - conflict,126,63,0.5,126,63,0.5,0.413997435383882,0.586002564616118,0.999999999999995,Additional spatial control.,0.999999999999995
Online plot,P(right) - congruent,126,63,0.5,126,63,0.5,0.413997435383882,0.586002564616118,0.999999999999995,Additional spatial control.,0.999999999999995
