Metric,NEarlyAll,NLateAll,EarlyAll,LateAll,LateMinusEarlyAll,NEarlyReal,NLateReal,EarlyReal,LateReal,LateMinusEarlyReal,PermutationPReal,QFDR
P(choose right),84,84,0.464285714285714,0.511904761904762,0.0476190476190476,84,84,0.464285714285714,0.511904761904762,0.0476190476190476,0.656868626274745,1
P(choose T1),84,84,0.511904761904762,0.511904761904762,0,84,84,0.511904761904762,0.511904761904762,0,1,1
P(choose rich target),84,84,0.488095238095238,0.488095238095238,0,84,84,0.488095238095238,0.488095238095238,0,1,1
P(choose high-salience target),84,84,0.988095238095238,0.988095238095238,0,84,84,0.988095238095238,0.988095238095238,0,1,1
P(repeat identity),83,83,0.481927710843373,0.55421686746988,0.072289156626506,83,83,0.481927710843373,0.55421686746988,0.072289156626506,0.439512097580484,1
P(repeat side),83,83,0.578313253012048,0.433734939759036,-0.144578313253012,83,83,0.578313253012048,0.433734939759036,-0.144578313253012,0.0895820835832833,0.5374925014997
