Condition,NAll,MedianAllMs,IQRAllMs,NReal,MedianRealMs,IQRRealMs
All choices,252,245.075225830078,32.8919887542725,252,245.075225830078,32.8919887542725
Congruent,126,244.959354400635,31.8121910095215,126,244.959354400635,31.8121910095215
Conflict,126,245.147109031677,34.3796014785767,126,245.147109031677,34.3796014785767
