Domain,Strategy,NAll,CorrectAll,AccuracyAll,NReal,CorrectReal,AccuracyReal,CI95LowReal,CI95HighReal,PExactVsChanceReal,IndistinguishableFrom,QFDR
Identity,Always T1,252,128,0.507936507936508,252,128,0.507936507936508,0.44655709508056,0.569077587501528,0.850154248703539,None,1
Identity,Always T2,252,124,0.492063492063492,252,124,0.492063492063492,0.430922412498471,0.55344290491944,0.850154248703539,None,1
Identity,Choose rich target,252,124,0.492063492063492,252,124,0.492063492063492,0.430922412498471,0.55344290491944,0.850154248703539,None,1
Identity,Choose low-reward target,252,128,0.507936507936508,252,128,0.507936507936508,0.44655709508056,0.569077587501528,0.850154248703539,None,1
Identity,Choose high-salience target,252,250,0.992063492063492,252,250,0.992063492063492,0.971529501884895,0.997820818204587,8.80999735577078e-72,None,3.52399894230831e-71
Identity,Choose low-salience target,252,2,0.00793650793650794,252,2,0.00793650793650794,0.00217918179541254,0.0284704981151049,8.80999735577078e-72,None,3.52399894230831e-71
Identity,Repeat previous identity,251,125,0.49800796812749,251,125,0.49800796812749,0.436650536534346,0.559425455164071,1,None,1
Identity,Switch identity,251,126,0.50199203187251,251,126,0.50199203187251,0.440574544835929,0.563349463465654,1,None,1
Spatial,Always right,252,126,0.5,252,126,0.5,0.438732150910063,0.561267849089937,0.999999999999954,None,1
Spatial,Always left,252,126,0.5,252,126,0.5,0.438732150910063,0.561267849089937,0.999999999999954,None,1
Spatial,Choose rich side,252,124,0.492063492063492,252,124,0.492063492063492,0.430922412498471,0.55344290491944,0.850154248703539,None,1
Spatial,Choose low-reward side,252,128,0.507936507936508,252,128,0.507936507936508,0.44655709508056,0.569077587501528,0.850154248703539,None,1
Spatial,Choose high-salience side,252,250,0.992063492063492,252,250,0.992063492063492,0.971529501884895,0.997820818204587,8.80999735577078e-72,None,3.52399894230831e-71
Spatial,Choose low-salience side,252,2,0.00793650793650794,252,2,0.00793650793650794,0.00217918179541254,0.0284704981151049,8.80999735577078e-72,None,3.52399894230831e-71
Spatial,Repeat previous side,251,124,0.49402390438247,251,124,0.49402390438247,0.432730367216004,0.555497607879247,0.899575670635198,None,1
Spatial,Switch side,251,127,0.50597609561753,251,127,0.50597609561753,0.444502392120753,0.567269632783996,0.899575670635198,None,1
