Metric,N,Mean,SD,Median,IQR,Minimum,Maximum,CorrelationWithAttempt,PermutationP,Notes,QFDR
T1 - T2 reward difference (ms),312,-27.5320512820513,92.560637628651,-79.5,183.25,-140,146,-0.0698195196056184,0.218356328734253,Design variable; not necessarily known before the choice.,0.382123575284943
T1 - T2 hue contrast difference (deg),312,0.224358974358974,160.076989062265,-1.25,319.5,-179,179,0.011354206646294,0.842431513697261,Signed visual-salience evidence.,0.842431513697261
T1 - T2 luminance difference (cd/m2),0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Used when the session manipulates luminance.,NaN
Pre-trial interval (s),331,2.21823194523953,3.01851594007611,1.6302535533905,0.0441519021987915,0.816057920455933,38.1649610996246,0.0323926210220648,0.575884823035393,A late increase can indicate slower task initiation.,0.80623875224955
Fixation acquisition latency (ms),332,182.444117873548,76.2755280419329,194.923162460327,66.7904019355774,0.975847244262695,295.196294784546,0.221598146861758,0.000399920015996801,Operational engagement measure before the saccadic response.,0.0027994401119776
Reaction time (ms),252,251.290576798575,35.0419164263772,245.075225830078,32.8919887542725,170.041084289551,419.279336929321,-0.176210279158042,0.0031993601279744,fixOff to saccadeOnset.,0.00746517363194028
Attempt duration (s),332,1.83039562817079,0.371289295305449,1.89268946647644,0.187331855297089,0.0818245410919189,4.20015263557434,-0.0179254652200188,0.75504899020196,Includes completed and aborted attempts.,0.842431513697261
Missed frames,332,4.21385542168675,1.82282959966825,4,2,0,12,0.169855649702295,0.0027994401119776,Technical display-quality control.,0.00746517363194028
