Metric,Value,Unit,Notes
Saved attempts,660,trials,One trialXXXX.mat file per saved attempt.
Successful trials,587,trials,trialEndState = 455 / GoodTrial = 1.
Completion rate,0.889393939393939,proportion,Successful trials / saved attempts.
Successful instruction trials,123,trials,Single-target trials.
Successful two-target choices,464,trials,All acquisition modes combined.
Real eye-controlled choices,464,trials,passEye=0 and mouseEyeSim=0.
Fraction passEye,0,proportion,passEye forces a programmed choice in this task.
Fraction passJoy,0,proportion,Joystick bypass.
Valid reaction times,625,trials,saccadeOnset strictly after fixOff.
Valid fixation-acquisition latencies,660,trials,fixAq strictly after fixOn.
Session duration,59.8921256224314,minutes,Estimated from PTB timestamps.
Missed frames,57,frames,Sum across saved attempts.
Identity-side mapping errors,0,trials,The recorded chosen side does not match the side of the chosen target.
