Condition,NAll,MedianAllMs,IQRAllMs,NReal,MedianRealMs,IQRRealMs
All choices,464,241.992115974426,33.4768295288086,464,241.992115974426,33.4768295288086
Congruent,232,242.062568664551,33.3926677703857,232,242.062568664551,33.3926677703857
Conflict,232,234.49981212616,33.5454344749451,232,234.49981212616,33.5454344749451
