Metric,N,Count,Proportion,CI95Low,CI95High,PExactVsHalf,Notes,QFDR
T1 presented on the right,464,232,0.5,0.454692641499548,0.545307358500452,0.999999999999715,Spatial counterbalancing of target identity.,0.999999999999715
Rich target on the right,464,232,0.5,0.454692641499548,0.545307358500452,0.999999999999715,Reward value should be independent of side.,0.999999999999715
High-salience target on the right,464,232,0.5,0.454692641499548,0.545307358500452,0.999999999999715,Salience should be independent of side.,0.999999999999715
Congruent trial,464,232,0.5,0.454692641499548,0.545307358500452,0.999999999999715,Congruent/conflict balance.,0.999999999999715
T1 instruction trial,123,60,0.48780487804878,0.40118564593205,0.575162781247104,0.856984328249681,Identity balance in instruction trials.,0.999999999999715
