Outcome,NTotal,NConflict,CountConflict,PConflict,CI95LowConflict,CI95HighConflict,NCongruent,CountCongruent,PCongruent,CI95LowCongruent,CI95HighCongruent,Difference,OddsRatio,FisherP,QFDR,Notes
Choose high-salience target,86,41,22,0.536585365853659,0.387464712676695,0.679437660236639,45,24,0.533333333333333,0.390774547401254,0.670648679349887,-0.00325203252032524,0.987596899224806,0.999999999999988,0.999999999999988,Tests whether salience-guided choices differ between conditions.
Choose high-reward target,86,41,19,0.463414634146341,0.320562339763361,0.612535287323305,45,24,0.533333333333333,0.390774547401254,0.670648679349887,0.0699186991869918,1.31484794275492,0.666163956354164,0.999999999999988,Tests whether reward-guided choices differ between conditions.
Choose right,86,41,39,0.951219512195122,0.838610211296292,0.986519054634831,45,43,0.955555555555556,0.851724892305644,0.98772587329328,0.00433604336043369,1.10126582278481,0.999999999999981,0.999999999999988,Spatial control comparing conflict and congruent trials.
