EvidenceType,Bin,EvidenceMin,EvidenceMean,EvidenceMax,NAll,CountT1All,PChooseT1All,CI95LowAll,CI95HighAll,NReal,CountT1Real,PChooseT1Real,CI95LowReal,CI95HighReal
T1 - T2 luminance (cd/m2),1,-11.7320219874382,-10.3430731964111,-9.0554102659225,25,14,0.56,0.370673318697988,0.733343611189326,25,14,0.56,0.370673318697988,0.733343611189326
T1 - T2 luminance (cd/m2),2,-7.26535606384277,-6.91051872571309,-6.65706348419189,12,4,0.333333333333333,0.138120091091213,0.6093779111272,12,4,0.333333333333333,0.138120091091213,0.6093779111272
T1 - T2 luminance (cd/m2),3,-4.80476188659668,-3.54753828048706,-1.98996257781983,8,3,0.375,0.136844285823598,0.694257605397372,8,3,0.375,0.136844285823598,0.694257605397372
T1 - T2 luminance (cd/m2),5,1.98996257781983,2.76506354592064,4.80476188659668,11,4,0.363636363636364,0.151664710953676,0.646198825492151,11,4,0.363636363636364,0.151664710953676,0.646198825492151
T1 - T2 luminance (cd/m2),6,6.65706348419189,7.03724634647369,7.26535606384277,8,3,0.375,0.136844285823598,0.694257605397372,8,3,0.375,0.136844285823598,0.694257605397372
T1 - T2 luminance (cd/m2),7,9.0554102659225,10.5037817142226,11.8226267695427,22,15,0.681818181818182,0.473185977410428,0.836394068186437,22,15,0.681818181818182,0.473185977410428,0.836394068186437
