Metric,NEarlyAll,NLateAll,EarlyAll,LateAll,LateMinusEarlyAll,NEarlyReal,NLateReal,EarlyReal,LateReal,LateMinusEarlyReal,PermutationPReal,QFDR
P(choose right),28,28,0.857142857142857,1,0.142857142857143,28,28,0.857142857142857,1,0.142857142857143,0.114177164567087,0.228354329134173
P(choose T1),28,28,0.535714285714286,0.535714285714286,0,28,28,0.535714285714286,0.535714285714286,0,1,1
P(choose rich target),28,28,0.535714285714286,0.535714285714286,0,28,28,0.535714285714286,0.535714285714286,0,1,1
P(choose high-salience target),28,28,0.678571428571429,0.428571428571429,-0.25,28,28,0.678571428571429,0.428571428571429,-0.25,0.110777844431114,0.228354329134173
P(repeat identity),28,28,0.5,0.464285714285714,-0.0357142857142857,28,28,0.5,0.464285714285714,-0.0357142857142857,1,1
P(repeat side),28,28,0.785714285714286,1,0.214285714285714,28,28,0.785714285714286,1,0.214285714285714,0.0195960807838432,0.117576484703059
