Metric,EarlyValue,LateValue,LateMinusEarly,PermutationP,NEarly,NLate,QFDR
Completion rate,0.916666666666667,0.916666666666667,0,1,48,48,1
Median pre-trial interval (s),1.25515580177307,1.24974286556244,-0.00541293621063232,0.252949410117976,47,48,0.505898820235953
Median reaction time (ms),292.07718372345,309.01300907135,16.9358253479004,0.0449910017996401,44,44,0.17996400719856
Median fixation acquisition latency (ms),217.298865318298,225.554943084717,8.25607776641846,0.471105778844231,48,48,0.628141038458975
Mean missed frames,0.0416666666666667,0.0208333333333333,-0.0208333333333333,NaN,48,48,NaN
