Metric,N,Mean,SD,Median,IQR,Minimum,Maximum,CorrelationWithAttempt,PermutationP,Notes,QFDR
T1 - T2 reward difference (ms),126,13.3174603174603,68.7025648189237,41.5,36,-151,117,-0.62142056310265,0.0001999600079984,Design variable; not necessarily known before the choice.,0.0013997200559888
T1 - T2 hue contrast difference (deg),0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Signed visual-salience evidence.,NaN
T1 - T2 luminance difference (cd/m2),126,-0.413384868039023,9.75778321280333,-1.98996257781983,20.1404907703399,-11.8226267695427,11.8226267695427,-0.0326323703228779,0.726054789042192,Used when the session manipulates luminance.,0.945510897820436
Pre-trial interval (s),145,1.72432690488881,2.22177943811095,1.25009059906006,0.0321788787841797,1.09332489967346,17.5764071941376,-0.170848926793894,0.0371925614877025,A late increase can indicate slower task initiation.,0.130173965206959
Fixation acquisition latency (ms),146,214.656091716192,40.3691838386993,217.208385467529,39.5876169204712,0.899314880371094,292.309761047363,0.0628869070520679,0.465306938612278,Operational engagement measure before the saccadic response.,0.945510897820436
Reaction time (ms),86,310.240640196689,53.1146027464834,308.904767036438,56.1402440071106,25.8095264434814,425.543785095215,-0.00718109090168667,0.9500099980004,fixOff to saccadeOnset.,0.9500099980004
Attempt duration (s),146,2.07608838767222,0.481267856010281,2.20889890193939,0.199067711830139,0.125244140625,2.93629860877991,0.0215520500616587,0.810437912417517,Includes completed and aborted attempts.,0.945510897820436
Missed frames,146,0.0547945205479452,0.435981997695542,0,0,0,5,-0.028766768576164,0.790641871625675,Technical display-quality control.,0.945510897820436
