EvidenceType,Bin,EvidenceMin,EvidenceMean,EvidenceMax,NAll,CountT1All,PChooseT1All,CI95LowAll,CI95HighAll,NReal,CountT1Real,PChooseT1Real,CI95LowReal,CI95HighReal
T1 - T2 hue contrast (deg),1,-159.5,-150.36625,-140,400,200,0.5,0.451234504169709,0.548765495830291,0,0,NaN,NaN,NaN
T1 - T2 hue contrast (deg),7,140.5,149.975,160,400,200,0.5,0.451234504169709,0.548765495830291,0,0,NaN,NaN,NaN
