Condition,NAll,MedianAllMs,IQRAllMs,NReal,MedianRealMs,IQRRealMs
All choices,0,NaN,NaN,0,NaN,NaN
Congruent,0,NaN,NaN,0,NaN,NaN
Conflict,0,NaN,NaN,0,NaN,NaN
