PreviousRewardBinCenterMs,PSwitch,N
120.515151515152,0,33
140.887323943662,0.00469483568075117,213
161.825082508251,0.0198019801980198,303
184.473684210526,0.00956937799043062,209
203.717948717949,0,39
233,0,2
