Metric,Value,Unit,Notes
Saved attempts,1012,trials,One trialXXXX.mat file per saved attempt.
Successful trials,1012,trials,trialEndState = 455 / GoodTrial = 1.
Completion rate,1,proportion,Successful trials / saved attempts.
Successful instruction trials,212,trials,Single-target trials.
Successful two-target choices,800,trials,All acquisition modes combined.
Real eye-controlled choices,0,trials,passEye=0 and mouseEyeSim=0.
Fraction passEye,1,proportion,passEye forces a programmed choice in this task.
Fraction passJoy,1,proportion,Joystick bypass.
Valid reaction times,0,trials,saccadeOnset strictly after fixOff.
Valid fixation-acquisition latencies,1012,trials,fixAq strictly after fixOn.
Session duration,84.0644607146581,minutes,Estimated from PTB timestamps.
Missed frames,3132,frames,Sum across saved attempts.
Identity-side mapping errors,0,trials,The recorded chosen side does not match the side of the chosen target.
