Condition,NAll,MedianAllMs,IQRAllMs,NReal,MedianRealMs,IQRRealMs
All choices,363,211.504936218262,74.9968290328979,363,211.504936218262,74.9968290328979
Congruent,152,211.599826812744,67.6481127738953,152,211.599826812744,67.6481127738953
Conflict,211,211.469650268555,75.1792192459106,211,211.469650268555,75.1792192459106
