Model,Term,Estimate,SE,PValue,OddsRatio,N,Note,QFDR
Choose right,(Intercept),-0.593427030219056,0.250245699590097,0.0177219185623595,0.552430839821559,362,,0.106331511374157
Choose right,RichOnRight,0.0308428729704749,0.229219558982905,0.892962911379332,1.03132344236575,362,,0.974141357868362
Choose right,HighSalienceOnRight,0.00373949455733852,0.227756214463082,0.986900243627977,1.00374649519067,362,,0.986900243627977
Choose right,T1OnRight,-0.126344488914919,0.219686827501133,0.565215681467296,0.881311192547234,362,,0.678258817760756
Choose right,PreviousRight,0.932744235315997,0.227891546295658,4.25955625118239e-05,2.5414740194233,362,,0.000511146750141886
Choose right,ChoiceProgress,-0.0875600352117401,0.110475964095024,0.42802786376224,0.916163867908015,362,,0.678258817760756
Choose T1,(Intercept),0.253652973669915,0.236029378583817,0.282523863269929,1.28872450532446,362,,0.565047726539859
Choose T1,T1IsRich,-0.151366630853524,0.220591897788653,0.49259708582774,0.859532509746066,362,,0.678258817760756
Choose T1,T1IsHighSalience,0.252506628532037,0.22410289697901,0.259850669294441,1.28724802869131,362,,0.565047726539859
Choose T1,T1OnRight,-0.419819434210222,0.221906405761114,0.0585074856113329,0.657165470704821,362,,0.234029942445331
Choose T1,PreviousT1,-0.348319854957384,0.222910208782347,0.118146325334934,0.705873063104071,362,,0.354438976004803
Choose T1,ChoiceProgress,0.066608586584012,0.107663989702777,0.536133127953476,1.06887702347852,362,,0.678258817760756
