Metric,Value,Unit,Notes
Saved attempts,1062,trials,One trialXXXX.mat file per saved attempt.
Successful trials,902,trials,trialEndState = 455 / GoodTrial = 1.
Completion rate,0.849340866290019,proportion,Successful trials / saved attempts.
Successful instruction trials,539,trials,Single-target trials.
Successful two-target choices,363,trials,All acquisition modes combined.
Real eye-controlled choices,363,trials,passEye=0 and mouseEyeSim=0.
Fraction passEye,0,proportion,passEye forces a programmed choice in this task.
Fraction passJoy,0,proportion,Joystick bypass.
Valid reaction times,912,trials,saccadeOnset strictly after fixOff.
Valid fixation-acquisition latencies,1062,trials,fixAq strictly after fixOn.
Session duration,86.6691417296727,minutes,Estimated from PTB timestamps.
Missed frames,3891,frames,Sum across saved attempts.
Identity-side mapping errors,0,trials,The recorded chosen side does not match the side of the chosen target.
