Metric,N,Count,Proportion,CI95Low,CI95High,PExactVsHalf,Notes,QFDR
T1 presented on the right,363,172,0.473829201101928,0.423006958829699,0.525199549613811,0.344796288775072,Spatial counterbalancing of target identity.,0.43099536096884
Rich target on the right,363,152,0.418732782369146,0.369091277860606,0.470076300990294,0.00228810054327142,Reward value should be independent of side.,0.00381350090545237
High-salience target on the right,363,211,0.581267217630854,0.529923699009706,0.630908722139394,0.00228810054327142,Salience should be independent of side.,0.00381350090545237
Congruent trial,363,152,0.418732782369146,0.369091277860606,0.470076300990294,0.00228810054327142,Congruent/conflict balance.,0.00381350090545237
T1 instruction trial,539,270,0.500927643784787,0.458859957705838,0.542982200780311,1,Identity balance in instruction trials.,1
