Metric,Value,Unit,Notes
Saved attempts,268,trials,One trialXXXX.mat file per saved attempt.
Successful trials,251,trials,trialEndState = 455 / GoodTrial = 1.
Completion rate,0.936567164179104,proportion,Successful trials / saved attempts.
Successful instruction trials,20,trials,Single-target trials.
Successful two-target choices,231,trials,All acquisition modes combined.
Real eye-controlled choices,231,trials,passEye=0 and mouseEyeSim=0.
Fraction passEye,0,proportion,passEye forces a programmed choice in this task.
Fraction passJoy,0,proportion,Joystick bypass.
Valid reaction times,252,trials,saccadeOnset strictly after fixOff.
Valid fixation-acquisition latencies,268,trials,fixAq strictly after fixOn.
Session duration,15.8901337623596,minutes,Estimated from PTB timestamps.
Missed frames,32,frames,Sum across saved attempts.
Identity-side mapping errors,0,trials,The recorded chosen side does not match the side of the chosen target.
