Metric,EarlyValue,LateValue,LateMinusEarly,PermutationP,NEarly,NLate,QFDR
Completion rate,0.932584269662921,0.932584269662921,0,1,89,89,1
Median pre-trial interval (s),1.21918106079102,1.23370385169983,0.0145227909088135,0.0001999600079984,88,89,0.000799840031993601
Median reaction time (ms),250.366449356079,242.066621780396,-8.29982757568359,0.0293941211757648,83,83,0.0445244284476438
Median fixation acquisition latency (ms),217.237234115601,200.832605361938,-16.4046287536621,0.0333933213357329,89,89,0.0445244284476438
Mean missed frames,0.269662921348315,0.0786516853932584,-0.191011235955056,NaN,89,89,NaN
