Condition,NAll,MedianAllMs,IQRAllMs,NReal,MedianRealMs,IQRRealMs
All choices,231,242.413282394409,33.2826375961304,231,242.413282394409,33.2826375961304
Congruent,32,234.146595001221,13.0116939544678,32,234.146595001221,13.0116939544678
Conflict,199,242.461919784546,33.3212614059448,199,242.461919784546,33.3212614059448
