Metric,EarlyValue,LateValue,LateMinusEarly,PermutationP,NEarly,NLate,QFDR
Completion rate,0.864406779661017,0.824858757062147,-0.0395480225988701,0.174165166966607,354,354,0.232220222622142
Median pre-trial interval (s),1.31956934928894,1.32415878772736,0.00458943843841553,0.0875824835032993,353,354,0.175164967006599
Median reaction time (ms),235.684871673584,227.343320846558,-8.34155082702637,0.0815836832633473,308,297,0.175164967006599
Median fixation acquisition latency (ms),211.377739906311,211.415886878967,0.03814697265625,0.959808038392322,354,354,0.959808038392322
Mean missed frames,3.75423728813559,3.32768361581921,-0.426553672316385,NaN,354,354,NaN
