Domain,Strategy,NAll,CorrectAll,AccuracyAll,NReal,CorrectReal,AccuracyReal,CI95LowReal,CI95HighReal,PExactVsChanceReal,IndistinguishableFrom,QFDR
Identity,Always T1,363,175,0.482093663911846,363,175,0.482093663911846,0.431147955490064,0.533414392392338,0.528858920711761,None,0.67462329460841
Identity,Always T2,363,188,0.517906336088154,363,188,0.517906336088154,0.466585607607662,0.568852044509936,0.528858920711761,None,0.67462329460841
Identity,Choose rich target,363,177,0.487603305785124,363,177,0.487603305785124,0.436582987808469,0.538883253033194,0.67462329460841,None,0.67462329460841
Identity,Choose low-reward target,363,186,0.512396694214876,363,186,0.512396694214876,0.461116746966806,0.563417012191531,0.67462329460841,None,0.67462329460841
Identity,Choose high-salience target,363,188,0.517906336088154,363,188,0.517906336088154,0.466585607607662,0.568852044509936,0.528858920711761,None,0.67462329460841
Identity,Choose low-salience target,363,175,0.482093663911846,363,175,0.482093663911846,0.431147955490064,0.533414392392338,0.528858920711761,None,0.67462329460841
Identity,Repeat previous identity,362,165,0.455801104972376,362,165,0.455801104972376,0.405228094985131,0.507302321597087,0.103113130857132,None,0.274968348952353
Identity,Switch identity,362,197,0.544198895027624,362,197,0.544198895027624,0.492697678402913,0.594771905014869,0.103113130857132,None,0.274968348952353
Spatial,Always right,363,162,0.446280991735537,363,162,0.446280991735537,0.395970873294002,0.497716170353203,0.0459502016973897,None,0.183800806789559
Spatial,Always left,363,201,0.553719008264463,363,201,0.553719008264463,0.502283829646797,0.604029126705998,0.0459502016973897,None,0.183800806789559
Spatial,Choose rich side,363,177,0.487603305785124,363,177,0.487603305785124,0.436582987808469,0.538883253033194,0.67462329460841,None,0.67462329460841
Spatial,Choose low-reward side,363,186,0.512396694214876,363,186,0.512396694214876,0.461116746966806,0.563417012191531,0.67462329460841,None,0.67462329460841
Spatial,Choose high-salience side,363,188,0.517906336088154,363,188,0.517906336088154,0.466585607607662,0.568852044509936,0.528858920711761,None,0.67462329460841
Spatial,Choose low-salience side,363,175,0.482093663911846,363,175,0.482093663911846,0.431147955490064,0.533414392392338,0.528858920711761,None,0.67462329460841
Spatial,Repeat previous side,362,224,0.61878453038674,362,224,0.61878453038674,0.567752889650695,0.667321615784596,7.20983396117597e-06,None,5.76786716894078e-05
Spatial,Switch side,362,138,0.38121546961326,362,138,0.38121546961326,0.332678384215404,0.432247110349305,7.20983396117597e-06,None,5.76786716894078e-05
