Domain,Metric,NAll,CountAll,ProportionAll,NReal,CountReal,ProportionReal,CI95LowReal,CI95HighReal,PExactVsHalfReal,Notes,QFDR
Online plot,P(high salience) - conflict,211,111,0.5260663507109,211,111,0.5260663507109,0.458830690656641,0.592369855366371,0.491274281156699,Offline equivalent of pHighSalConflict.,0.935389370477998
Online plot,P(high salience) - congruent,152,77,0.506578947368421,152,77,0.506578947368421,0.427922152219768,0.584911403209799,0.935389370477998,Offline equivalent of pHighSalCongruent.,0.935389370477998
Online plot,P(high reward) - conflict,211,100,0.4739336492891,211,100,0.4739336492891,0.407630144633629,0.541169309343359,0.491274281156699,Offline equivalent of pHighRewardConflict.,0.935389370477998
Online plot,P(high reward) - congruent,152,77,0.506578947368421,152,77,0.506578947368421,0.427922152219768,0.584911403209799,0.935389370477998,Offline equivalent of pHighRewardCongruent.,0.935389370477998
Online plot,P(right) - conflict,211,85,0.402843601895735,211,85,0.402843601895735,0.338973280176657,0.470188321010298,0.0057630987558481,Additional spatial control.,0.0345785925350886
Online plot,P(right) - congruent,152,77,0.506578947368421,152,77,0.506578947368421,0.427922152219768,0.584911403209799,0.935389370477998,Additional spatial control.,0.935389370477998
