Metric,N,Count,Proportion,CI95Low,CI95High,PExactVsHalf,Notes,QFDR
T1 presented on the right,135,66,0.488888888888889,0.406047848680408,0.572344772475537,0.863415230301974,Spatial counterbalancing of target identity.,0.999999999999993
Rich target on the right,135,69,0.511111111111111,0.427655227524463,0.593952151319592,0.863415230301974,Reward value should be independent of side.,0.999999999999993
High-salience target on the right,135,67,0.496296296296296,0.413232557267389,0.579564983117926,0.99999999999998,Salience should be independent of side.,0.999999999999993
Congruent trial,135,65,0.481481481481481,0.398880902494773,0.565106799431802,0.730789439435799,Congruent/conflict balance.,0.999999999999993
T1 instruction trial,200,100,0.5,0.431360859603892,0.568639140396108,0.999999999999992,Identity balance in instruction trials.,0.999999999999993
