EvidenceType,Bin,EvidenceMin,EvidenceMean,EvidenceMax,NAll,CountT1All,PChooseT1All,CI95LowAll,CI95HighAll,NReal,CountT1Real,PChooseT1Real,CI95LowReal,CI95HighReal
T1 - T2 hue contrast (deg),1,-169.556242291834,-150.989936133533,-121.662634385201,25,16,0.64,0.445184977481649,0.797521192255418,25,16,0.64,0.445184977481649,0.797521192255418
T1 - T2 hue contrast (deg),2,-115.372434386329,-94.0914293985231,-75.4087456445183,18,12,0.666666666666667,0.437494672959451,0.837212252491663,18,12,0.666666666666667,0.437494672959451,0.837212252491663
T1 - T2 hue contrast (deg),3,-71.3108028215506,-46.8615008623697,-24.4645647302635,14,7,0.5,0.267992024524137,0.732007975475863,14,7,0.5,0.267992024524137,0.732007975475863
T1 - T2 hue contrast (deg),4,-23.0452424288226,-1.07301700769196,16.4938849114512,16,10,0.625,0.386410405455028,0.815187674411363,16,10,0.625,0.386410405455028,0.815187674411363
T1 - T2 hue contrast (deg),5,27.5156102541439,48.5444766605249,68.4564033040429,16,8,0.5,0.279995636103261,0.720004363896739,16,8,0.5,0.279995636103261,0.720004363896739
T1 - T2 hue contrast (deg),6,74.0118340291692,93.6427455534291,119.481755069511,19,10,0.526315789473684,0.317078092451132,0.726701948388204,19,10,0.526315789473684,0.317078092451132,0.726701948388204
T1 - T2 hue contrast (deg),7,121.63192531468,143.503263197899,169.293991591881,27,10,0.37037037037037,0.215325129609656,0.557707655878976,27,10,0.37037037037037,0.215325129609656,0.557707655878976
