Evidence,PredictedPChooseT1
-169.556242291834,0.662496161667777
-167.853477297444,0.661371370295179
-166.150712303053,0.660244752774902
-164.447947308663,0.659116318922396
-162.745182314272,0.657986078630749
-161.042417319881,0.656854041870458
-159.339652325491,0.6557202186892
-157.6368873311,0.654584619211593
-155.93412233671,0.653447253638949
-154.231357342319,0.652308132249025
-152.528592347929,0.651167265395762
-150.825827353538,0.650024663509022
-149.123062359148,0.648880337094314
-147.420297364757,0.647734296732519
-145.717532370367,0.646586553079603
-144.014767375976,0.645437116866327
-142.312002381586,0.644285998897949
-140.609237387195,0.643133210053916
-138.906472392805,0.641978761287562
-137.203707398414,0.640822663625778
-135.500942404024,0.639664928168699
-133.798177409633,0.638505566089368
-132.095412415243,0.637344588633397
-130.392647420852,0.636182007118629
-128.689882426461,0.635017832934782
-126.987117432071,0.633852077543094
-125.28435243768,0.632684752475964
-123.58158744329,0.631515869336574
-121.878822448899,0.630345439798519
-120.176057454509,0.629173475605424
-118.473292460118,0.627999988570549
-116.770527465728,0.626824990576401
-115.067762471337,0.625648493574327
-113.364997476947,0.624470509584107
-111.662232482556,0.623291050693539
-109.959467488166,0.62211012905802
-108.256702493775,0.620927756900112
-106.553937499385,0.619743946509117
-104.851172504994,0.618558710240631
-103.148407510604,0.617372060516098
-101.445642516213,0.61618400982236
-99.7428775218225,0.614994570711195
-98.040112527432,0.613803755798857
-96.3373475330415,0.612611577765597
-94.6345825386509,0.611418049355195
-92.9318175442604,0.610223183374468
-91.2290525498699,0.609026992692786
-89.5262875554793,0.607829490241575
-87.8235225610888,0.606630689013816
-86.1207575666983,0.605430602063535
-84.4179925723078,0.604229242505294
-82.7152275779172,0.603026623513669
-81.0124625835267,0.601822758322724
-79.3096975891362,0.600617660225482
-77.6069325947457,0.599411342573387
-75.9041676003551,0.598203818775763
-74.2014026059646,0.596995102299266
-72.4986376115741,0.595785206667327
-70.7958726171835,0.594574145459595
-69.093107622793,0.593361932311372
-67.3903426284025,0.592148580913044
-65.687577634012,0.590934105009501
-63.9848126396215,0.589718518399558
-62.2820476452309,0.588501834935368
-60.5792826508404,0.587284068521831
-58.8765176564499,0.586065233115993
-57.1737526620593,0.584845342726446
-55.4709876676688,0.583624411412722
-53.7682226732783,0.582402453284675
-52.0654576788878,0.581179482501866
-50.3626926844972,0.57995551327294
-48.6599276901067,0.578730559854996
-46.9571626957162,0.577504636552956
-45.2543977013256,0.576277757718926
-43.5516327069351,0.575049937751553
-41.8488677125446,0.573821191095379
-40.1461027181541,0.572591532240186
-38.4433377237635,0.571360975720343
-36.740572729373,0.570129536114141
-35.0378077349825,0.568897228043129
-33.335042740592,0.567664066171443
-31.6322777462014,0.566430065205133
-29.9295127518109,0.565195239891482
-28.2267477574204,0.56395960501832
-26.5239827630299,0.562723175413345
-24.8212177686393,0.561485965943421
-23.1184527742488,0.560247991513891
-21.4156877798583,0.559009267067871
-19.7129227854677,0.55776980758555
-18.0101577910772,0.55652962808348
-16.3073927966867,0.555288743613868
-14.6046278022962,0.554047169263857
-12.9018628079056,0.552804920154812
-11.1990978135151,0.55156201144159
-9.49633281912458,0.550318458311825
-7.79356782473405,0.54907427598519
-6.09080283034353,0.547829479712666
-4.38803783595299,0.546584084775811
-2.68527284156247,0.545338106486014
-0.982507847171945,0.544091560183758
0.720257147218575,0.542844461237873
2.42302214160912,0.541596825044787
4.12578713599964,0.540348667027775
5.82855213039016,0.539100002636205
7.53131712478068,0.537850847344783
9.23408211917121,0.536601216652789
10.9368471135618,0.535351126083322
12.6396121079523,0.534100591182526
14.3423771023428,0.532849627518833
16.0451420967333,0.531598250682185
17.7479070911238,0.530346476283267
19.4506720855144,0.529094319952732
21.1534370799049,0.527841797340425
22.8562020742954,0.526588924114605
24.5589670686859,0.525335715961162
26.2617320630765,0.524082188582842
27.964497057467,0.522828357698454
29.6672620518575,0.521574239042093
31.3700270462481,0.520319848362348
33.0727920406386,0.519065201421514
34.7755570350291,0.517810313994803
36.4783220294197,0.516555201869551
38.1810870238102,0.515299880844427
39.8838520182007,0.514044366728638
41.5866170125912,0.512788675341134
43.2893820069817,0.511532822509811
44.9921470013723,0.510276824070714
46.6949119957628,0.509020695867241
48.3976769901533,0.507764453749342
50.1004419845439,0.50650811357272
51.8032069789344,0.505251691198031
53.5059719733249,0.503995202490083
55.2087369677155,0.502738663317035
56.911501962106,0.501482089549597
58.6142669564965,0.500225497060225
60.317031950887,0.498968901722323
62.0197969452776,0.497712319409438
63.7225619396681,0.496455765994457
65.4253269340586,0.495199257348811
67.1280919284491,0.493942809341666
68.8308569228396,0.492686437839124
70.5336219172302,0.491430158703424
72.2363869116207,0.49017398779214
73.9391519060112,0.488917940957377
75.6419169004018,0.487662034044976
77.3446818947923,0.486406282893715
79.0474468891828,0.485150703334505
80.7502118835733,0.483895311189598
82.4529768779639,0.482640122271791
84.1557418723544,0.481385152383625
85.8585068667449,0.480130417316595
87.5612718611355,0.478875932850356
89.264036855526,0.477621714751929
90.9668018499165,0.476367778774915
92.669566844307,0.475114140658699
94.3723318386976,0.473860816127667
96.0750968330881,0.472607820890422
97.7778618274786,0.471355170638992
99.4806268218691,0.470102881048055
101.18339181626,0.468850967774153
102.88615681065,0.467599446454917
104.588921805041,0.466348332708288
106.291686799431,0.465097642131742
107.994451793822,0.463847390301518
109.697216788212,0.462597592771849
111.399981782603,0.461348265074193
113.102746776993,0.460099422716466
114.805511771384,0.458851081182281
116.508276765774,0.457603255930187
118.211041760165,0.456355962392911
119.913806754555,0.455109215976603
121.616571748946,0.453863032060084
123.319336743337,0.452617425994097
125.022101737727,0.451372413100558
126.724866732118,0.450128008671817
128.427631726508,0.448884227969914
130.130396720899,0.447641086225843
131.833161715289,0.44639859863882
133.53592670968,0.44515678037555
135.23869170407,0.443915646569502
136.941456698461,0.442675212320184
138.644221692851,0.441435492692424
140.346986687242,0.440196502715651
142.049751681632,0.438958257383189
143.752516676023,0.437720771651539
145.455281670413,0.436484060439682
147.158046664804,0.435248138628373
148.860811659194,0.434013021059446
150.563576653585,0.432778722535118
152.266341647975,0.431545257817305
153.969106642366,0.430312641626933
155.671871636757,0.429080888643258
157.374636631147,0.427850013503192
159.077401625538,0.426620030800628
160.780166619928,0.425390955085775
162.482931614319,0.424162800864493
164.185696608709,0.422935582597636
165.8884616031,0.421709314700398
167.59122659749,0.420484011541662
169.293991591881,0.419259687443358
