Domain,Metric,NAll,CountAll,ProportionAll,NReal,CountReal,ProportionReal,CI95LowReal,CI95HighReal,PExactVsHalfReal,Notes,QFDR
Spatial,Choose right,135,94,0.696296296296296,135,94,0.696296296296296,0.614181563704689,0.767548795873616,5.86855251269755e-06,Absolute right/left bias.,3.52113150761853e-05
Identity,Choose T1,135,73,0.540740740740741,135,73,0.540740740740741,0.456713979472317,0.622513076289218,0.389502628976133,Absolute T1/T2 bias.,0.779005257952266
Reward,Choose rich target,135,64,0.474074074074074,135,64,0.474074074074074,0.391731741494243,0.557851041202961,0.605742265190544,Choice based on the blockwise reward contingency.,0.795628714970388
Salience,Choose high-salience target,135,60,0.444444444444444,135,60,0.444444444444444,0.36331380952451,0.528649296255215,0.228103478066009,Choice guided by visual salience.,0.684310434198026
Perseveration,Repeat target identity,134,65,0.485074626865672,134,65,0.485074626865672,0.402057169325076,0.568923985153249,0.795628714970388,Current choice compared with the previous two-target choice.,0.795628714970388
Perseveration,Repeat side,134,65,0.485074626865672,134,65,0.485074626865672,0.402057169325076,0.568923985153249,0.795628714970388,Current choice compared with the previous two-target choice.,0.795628714970388
