Domain,Strategy,NAll,CorrectAll,AccuracyAll,NReal,CorrectReal,AccuracyReal,CI95LowReal,CI95HighReal,PExactVsChanceReal,IndistinguishableFrom,QFDR
Identity,Always T1,316,162,0.512658227848101,316,162,0.512658227848101,0.45772731338457,0.567285078784654,0.693808045385155,None,0.989733812712218
Identity,Always T2,316,154,0.487341772151899,316,154,0.487341772151899,0.432714921215346,0.54227268661543,0.693808045385155,None,0.989733812712218
Identity,Choose rich target,316,156,0.493670886075949,316,156,0.493670886075949,0.438955004799913,0.548538799115475,0.866017086123191,None,0.989733812712218
Identity,Choose low-reward target,316,160,0.506329113924051,316,160,0.506329113924051,0.451461200884525,0.561044995200088,0.866017086123191,None,0.989733812712218
Identity,Choose high-salience target,316,164,0.518987341772152,316,164,0.518987341772152,0.464002109063601,0.573516479190235,0.536116058524399,None,0.989733812712218
Identity,Choose low-salience target,316,152,0.481012658227848,316,152,0.481012658227848,0.426483520809765,0.535997890936399,0.536116058524399,None,0.989733812712218
Identity,Repeat previous identity,315,158,0.501587301587302,315,158,0.501587301587302,0.446686353142963,0.556450001845811,1,None,1
Identity,Switch identity,315,157,0.498412698412698,315,157,0.498412698412698,0.443549998154189,0.553313646857037,1,None,1
Spatial,Always right,316,194,0.613924050632911,316,194,0.613924050632911,0.55918331057171,0.665928218951308,6.0691568777248e-05,None,0.000242766275108992
Spatial,Always left,316,122,0.386075949367089,316,122,0.386075949367089,0.334071781048692,0.44081668942829,6.0691568777248e-05,None,0.000242766275108992
Spatial,Choose rich side,316,156,0.493670886075949,316,156,0.493670886075949,0.438955004799913,0.548538799115475,0.866017086123191,None,0.989733812712218
Spatial,Choose low-reward side,316,160,0.506329113924051,316,160,0.506329113924051,0.451461200884525,0.561044995200088,0.866017086123191,None,0.989733812712218
Spatial,Choose high-salience side,316,164,0.518987341772152,316,164,0.518987341772152,0.464002109063601,0.573516479190235,0.536116058524399,None,0.989733812712218
Spatial,Choose low-salience side,316,152,0.481012658227848,316,152,0.481012658227848,0.426483520809765,0.535997890936399,0.536116058524399,None,0.989733812712218
Spatial,Repeat previous side,315,261,0.828571428571429,315,261,0.828571428571429,0.78305549986103,0.866169982815017,1.0627280628364e-33,None,8.5018245026912e-33
Spatial,Switch side,315,54,0.171428571428571,315,54,0.171428571428571,0.133830017184983,0.21694450013897,1.0627280628364e-33,None,8.5018245026912e-33
