Domain,Strategy,NAll,CorrectAll,AccuracyAll,NReal,CorrectReal,AccuracyReal,CI95LowReal,CI95HighReal,PExactVsChanceReal,IndistinguishableFrom,QFDR
Identity,Always T1,464,238,0.512931034482759,464,238,0.512931034482759,0.467532528827257,0.558117185993334,0.609635312115328,None,0.812847082820438
Identity,Always T2,464,226,0.487068965517241,464,226,0.487068965517241,0.441882814006666,0.532467471172743,0.609635312115328,None,0.812847082820438
Identity,Choose rich target,464,230,0.495689655172414,464,230,0.495689655172414,0.450419358774046,0.541030736285757,0.889255049441441,None,0.889255049441441
Identity,Choose low-reward target,464,234,0.504310344827586,464,234,0.504310344827586,0.458969263714243,0.549580641225954,0.889255049441441,None,0.889255049441441
Identity,Choose high-salience target,464,268,0.577586206896552,464,268,0.577586206896552,0.532186042190331,0.621712246733214,0.000960045500502498,None,0.001920091001005
Identity,Choose low-salience target,464,196,0.422413793103448,464,196,0.422413793103448,0.378287753266786,0.467813957809669,0.000960045500502498,None,0.001920091001005
Identity,Repeat previous identity,463,239,0.516198704103672,463,239,0.516198704103672,0.47073316609084,0.561397656304181,0.515325859761685,None,0.812847082820438
Identity,Switch identity,463,224,0.483801295896328,463,224,0.483801295896328,0.438602343695819,0.52926683390916,0.515325859761685,None,0.812847082820438
Spatial,Always right,464,400,0.862068965517241,464,400,0.862068965517241,0.827708440273603,0.89048357470294,1.87346348003665e-60,None,7.4938539201466e-60
Spatial,Always left,464,64,0.137931034482759,464,64,0.137931034482759,0.10951642529706,0.172291559726396,1.87346348003665e-60,None,7.4938539201466e-60
Spatial,Choose rich side,464,230,0.495689655172414,464,230,0.495689655172414,0.450419358774046,0.541030736285757,0.889255049441441,None,0.889255049441441
Spatial,Choose low-reward side,464,234,0.504310344827586,464,234,0.504310344827586,0.458969263714243,0.549580641225954,0.889255049441441,None,0.889255049441441
Spatial,Choose high-salience side,464,268,0.577586206896552,464,268,0.577586206896552,0.532186042190331,0.621712246733214,0.000960045500502498,None,0.001920091001005
Spatial,Choose low-salience side,464,196,0.422413793103448,464,196,0.422413793103448,0.378287753266786,0.467813957809669,0.000960045500502498,None,0.001920091001005
Spatial,Repeat previous side,463,406,0.876889848812095,463,406,0.876889848812095,0.843823083054706,0.903754051336105,5.72607657744054e-66,None,4.58086126195243e-65
Spatial,Switch side,463,57,0.123110151187905,463,57,0.123110151187905,0.0962459486638954,0.156176916945294,5.72607657744054e-66,None,4.58086126195243e-65
