Metric,N,Mean,SD,Median,IQR,Minimum,Maximum,CorrelationWithAttempt,PermutationP,Notes,QFDR
T1 - T2 reward difference (ms),397,9.86146095717884,112.451868271088,-16,219,-184,168,0.270328969738009,0.0001999600079984,Design variable; not necessarily known before the choice.,0.0013997200559888
T1 - T2 hue contrast difference (deg),397,-2.13824057814016,128.290781045867,1.66280484632,265.480481731128,-170,170,-0.00377373576273736,0.937412517496501,Signed visual-salience evidence.,0.937412517496501
T1 - T2 luminance difference (cd/m2),0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Used when the session manipulates luminance.,NaN
Pre-trial interval (s),441,1.76240250637202,1.35555591855525,1.56917786598206,0.0322518348693848,1.39356899261475,24.5349049568176,0.127275225584945,0.000999800039992002,A late increase can indicate slower task initiation.,0.00349930013997201
Fixation acquisition latency (ms),442,157.616858568666,88.7926067194641,183.929920196533,97.9468822479248,0.617742538452148,292.352676391602,0.0793675423977913,0.0931813637272546,Operational engagement measure before the saccadic response.,0.142211557688462
Reaction time (ms),316,234.196019323566,27.1557204629299,233.739495277405,33.3127379417419,183.824300765991,442.201375961304,0.0919289763943866,0.0991801639672066,fixOff to saccadeOnset.,0.142211557688462
Attempt duration (s),442,1.72474366669202,0.376114719687164,1.79311621189117,0.266363441944122,0.0666739940643311,3.34574747085571,0.0768631960957262,0.101579684063187,Includes completed and aborted attempts.,0.142211557688462
Missed frames,442,0.0429864253393665,0.337334011986599,0,0,0,5,-0.0667412032785003,0.175564887022595,Technical display-quality control.,0.204825701526361
