Metric,NEarlyAll,NLateAll,EarlyAll,LateAll,LateMinusEarlyAll,NEarlyReal,NLateReal,EarlyReal,LateReal,LateMinusEarlyReal,PermutationPReal,QFDR
P(choose right),105,105,0.60952380952381,0.638095238095238,0.0285714285714285,105,105,0.60952380952381,0.638095238095238,0.0285714285714285,0.782843431313737,0.782843431313737
P(choose T1),105,105,0.561904761904762,0.495238095238095,-0.0666666666666667,105,105,0.561904761904762,0.495238095238095,-0.0666666666666667,0.403519296140772,0.603959208158368
P(choose rich target),105,105,0.447619047619048,0.504761904761905,0.0571428571428571,105,105,0.447619047619048,0.504761904761905,0.0571428571428571,0.503299340131974,0.603959208158368
P(choose high-salience target),105,105,0.504761904761905,0.561904761904762,0.0571428571428572,105,105,0.504761904761905,0.561904761904762,0.0571428571428572,0.491901619676065,0.603959208158368
P(repeat identity),105,105,0.438095238095238,0.523809523809524,0.0857142857142857,105,105,0.438095238095238,0.523809523809524,0.0857142857142857,0.275344931013797,0.603959208158368
P(repeat side),105,105,0.885714285714286,0.8,-0.0857142857142856,105,105,0.885714285714286,0.8,-0.0857142857142856,0.122575484903019,0.603959208158368
