Metric,Value,Unit,Notes
Saved attempts,442,trials,One trialXXXX.mat file per saved attempt.
Successful trials,397,trials,trialEndState = 455 / GoodTrial = 1.
Completion rate,0.898190045248869,proportion,Successful trials / saved attempts.
Successful instruction trials,81,trials,Single-target trials.
Successful two-target choices,316,trials,All acquisition modes combined.
Real eye-controlled choices,316,trials,passEye=0 and mouseEyeSim=0.
Fraction passEye,0,proportion,passEye forces a programmed choice in this task.
Fraction passJoy,1,proportion,Joystick bypass.
Valid reaction times,427,trials,saccadeOnset strictly after fixOff.
Valid fixation-acquisition latencies,442,trials,fixAq strictly after fixOn.
Session duration,25.6592700997988,minutes,Estimated from PTB timestamps.
Missed frames,19,frames,Sum across saved attempts.
Identity-side mapping errors,0,trials,The recorded chosen side does not match the side of the chosen target.
