Domain,Metric,NAll,CountAll,ProportionAll,NReal,CountReal,ProportionReal,CI95LowReal,CI95HighReal,PExactVsHalfReal,Notes,QFDR
Spatial,Choose right,316,194,0.613924050632911,316,194,0.613924050632911,0.55918331057171,0.665928218951308,6.0691568777248e-05,Absolute right/left bias.,0.000182074706331744
Identity,Choose T1,316,162,0.512658227848101,316,162,0.512658227848101,0.45772731338457,0.567285078784654,0.693808045385155,Absolute T1/T2 bias.,1
Reward,Choose rich target,316,156,0.493670886075949,316,156,0.493670886075949,0.438955004799913,0.548538799115475,0.866017086123191,Choice based on the blockwise reward contingency.,1
Salience,Choose high-salience target,316,164,0.518987341772152,316,164,0.518987341772152,0.464002109063601,0.573516479190235,0.536116058524399,Choice guided by visual salience.,1
Perseveration,Repeat target identity,315,158,0.501587301587302,315,158,0.501587301587302,0.446686353142963,0.556450001845811,1,Current choice compared with the previous two-target choice.,1
Perseveration,Repeat side,315,261,0.828571428571429,315,261,0.828571428571429,0.78305549986103,0.866169982815017,1.0627280628364e-33,Current choice compared with the previous two-target choice.,6.3763683770184e-33
