Domain,Response,Predictor,NAll,PResponseWhen0All,PResponseWhen1All,DifferenceAll,OddsRatioAll,NReal,PResponseWhen0Real,PResponseWhen1Real,DifferenceReal,OddsRatioReal,FisherPReal,Notes,QFDR
Spatial,Choose right,Rich target on the right,316,0.620253164556962,0.607594936708861,-0.0126582278481012,0.948345177664975,316,0.620253164556962,0.607594936708861,-0.0126582278481012,0.948345177664975,0.90804045448488,Effect of reward on chosen side.,0.999999999999952
Spatial,Choose right,High-salience target on the right,316,0.594936708860759,0.632911392405063,0.0379746835443039,1.17256817256817,316,0.594936708860759,0.632911392405063,0.0379746835443039,1.17256817256817,0.563525934283205,Effect of salience on chosen side.,0.999999999999952
Spatial/identity,Choose right,T1 on the right,316,0.60126582278481,0.626582278481013,0.0253164556962026,1.11192749351049,316,0.60126582278481,0.626582278481013,0.0253164556962026,1.11192749351049,0.728934256060457,A T1 preference produces a positive association; T2 produces a negative association.,0.999999999999952
Spatial perseveration,Choose right,Previous choice on the right,315,0.223140495867769,0.860824742268041,0.637684246400273,20.9305785123967,315,0.223140495867769,0.860824742268041,0.637684246400273,20.9305785123967,1.07782556912291e-30,Dependence on the side selected previously.,8.62260455298325e-30
Reward,Choose T1,T1 is rich,316,0.518292682926829,0.506578947368421,-0.0117137355584083,0.954455675612873,316,0.518292682926829,0.506578947368421,-0.0117137355584083,0.954455675612873,0.910363863606031,Reward effect independent of T1 side.,0.999999999999952
Salience,Choose T1,T1 is high salience,316,0.493670886075949,0.531645569620253,0.0379746835443037,1.16312572136964,316,0.493670886075949,0.531645569620253,0.0379746835443037,1.16312572136964,0.57369425946838,Effect of salience on identity choice.,0.999999999999952
Identity/spatial,Choose T1,T1 on the right,316,0.39873417721519,0.626582278481013,0.227848101265823,2.51498709720109,316,0.39873417721519,0.626582278481013,0.227848101265823,2.51498709720109,7.6712969962101e-05,An always-right policy produces a positive association.,0.000306851879848404
Identity perseveration,Choose T1,Previous choice was T1,315,0.509803921568627,0.512345679012346,0.00254175744371832,1.01017505908745,315,0.509803921568627,0.512345679012346,0.00254175744371832,1.01017505908745,0.999999999999952,Dependence on the previously selected identity.,0.999999999999952
